Total_Population,Median_Income,Median_Home_Value,Unemployed_Pop,Bachelors_Holders,StateFIPS,CountyFIPS,TractFIPS
5882.0,210580.0,1361600.0,175.0,1540.0,6,1,441302
7667.0,186000.0,1218600.0,174.0,1908.0,6,1,441401
5231.0,189806.0,1418200.0,155.0,1285.0,6,1,441402
5496.0,200781.0,1269800.0,125.0,1502.0,6,1,441501
7528.0,240658.0,1414800.0,254.0,1826.0,6,1,441503
6045.0,211406.0,1312600.0,164.0,1412.0,6,1,441521
5131.0,178438.0,1163500.0,10.0,1199.0,6,1,441522
4032.0,188679.0,1056600.0,79.0,995.0,6,1,441523
3989.0,250001.0,1297400.0,38.0,942.0,6,1,441524
2362.0,212344.0,1145700.0,12.0,478.0,6,1,441525
4418.0,185208.0,1174500.0,116.0,873.0,6,1,441601
7280.0,131141.0,1092900.0,77.0,1387.0,6,1,441602
3645.0,100444.0,1155700.0,410.0,793.0,6,1,441701
5108.0,97813.0,736100.0,103.0,1064.0,6,1,441702
6611.0,180354.0,1163200.0,159.0,1798.0,6,1,441800
3779.0,153089.0,1158700.0,221.0,575.0,6,1,441921
5762.0,130038.0,1004800.0,149.0,1201.0,6,1,441923
7540.0,191306.0,1121100.0,170.0,2368.0,6,1,441924
4307.0,113510.0,922700.0,80.0,1066.0,6,1,441926
4316.0,152381.0,1016600.0,43.0,1336.0,6,1,441927
4015.0,171132.0,916700.0,58.0,1050.0,6,1,441928
3175.0,142188.0,613600.0,76.0,844.0,6,1,441929
3122.0,214554.0,2000001.0,59.0,692.0,6,1,442000
5279.0,238830.0,1723900.0,85.0,975.0,6,1,442100
7451.0,249917.0,1986800.0,97.0,1885.0,6,1,442200
4931.0,136573.0,1272600.0,47.0,973.0,6,1,442301
6164.0,133850.0,1105000.0,47.0,1416.0,6,1,442302
6362.0,138359.0,1123000.0,146.0,1111.0,6,1,442400
3287.0,101864.0,1163200.0,41.0,481.0,6,1,442501
3731.0,138750.0,1071200.0,54.0,775.0,6,1,442502
3936.0,168750.0,1360800.0,36.0,926.0,6,1,442601
4779.0,143393.0,1448000.0,93.0,1219.0,6,1,442602
2998.0,199154.0,1282500.0,39.0,847.0,6,1,442700
3087.0,180800.0,1080400.0,75.0,772.0,6,1,442800
7942.0,169947.0,1176900.0,303.0,1912.0,6,1,442900
2721.0,154178.0,1176600.0,43.0,490.0,6,1,443001
6915.0,141696.0,1124700.0,239.0,1370.0,6,1,443002
4657.0,250001.0,1835500.0,111.0,1145.0,6,1,443102
4107.0,250001.0,2000001.0,122.0,1266.0,6,1,443103
5301.0,200324.0,1848700.0,74.0,1219.0,6,1,443104
4616.0,240031.0,2000001.0,156.0,936.0,6,1,443105
3451.0,250001.0,2000001.0,63.0,747.0,6,1,443200
4178.0,250001.0,1693200.0,87.0,966.0,6,1,443301
3323.0,148750.0,823300.0,70.0,1030.0,6,1,443321
3284.0,232679.0,1660900.0,132.0,912.0,6,1,443322
7198.0,163367.0,1197100.0,77.0,1455.0,6,1,444100
6271.0,137773.0,1046300.0,202.0,996.0,6,1,444200
3774.0,200865.0,1165000.0,161.0,651.0,6,1,444301
0.0,-666666666.0,-666666666.0,0.0,0.0,6,1,444303
6809.0,224511.0,1214900.0,192.0,1159.0,6,1,444304
5174.0,103565.0,891400.0,184.0,517.0,6,1,444400
7024.0,160398.0,997100.0,229.0,1189.0,6,1,444500
6005.0,225543.0,1093700.0,174.0,1145.0,6,1,444601
4890.0,205000.0,936200.0,110.0,1503.0,6,1,444602
6725.0,143246.0,1076000.0,229.0,2226.0,6,1,450101
7880.0,232292.0,1179300.0,97.0,1666.0,6,1,450102
5809.0,118077.0,958300.0,164.0,1713.0,6,1,450200
4967.0,147875.0,1041300.0,130.0,1345.0,6,1,450300
7676.0,170184.0,1096000.0,125.0,1917.0,6,1,450400
3310.0,200475.0,1053500.0,40.0,881.0,6,1,450501
6066.0,225290.0,1432800.0,74.0,1446.0,6,1,450502
3631.0,217788.0,2000001.0,76.0,969.0,6,1,450601
4573.0,210898.0,1211200.0,28.0,1166.0,6,1,450603
4983.0,178725.0,1526400.0,28.0,1261.0,6,1,450604
3742.0,206063.0,1349300.0,74.0,814.0,6,1,450605
5946.0,237083.0,1621100.0,95.0,1587.0,6,1,450606
5430.0,102245.0,1426800.0,128.0,1249.0,6,1,450607
4187.0,233500.0,1781800.0,106.0,1275.0,6,1,450608
4824.0,162067.0,1290800.0,162.0,1454.0,6,1,450609
8674.0,250001.0,2000001.0,222.0,2454.0,6,1,450701
5469.0,154609.0,1630000.0,91.0,1053.0,6,1,450741
5169.0,165952.0,1080800.0,127.0,1515.0,6,1,450742
7627.0,170333.0,1091800.0,279.0,1974.0,6,1,450743
5750.0,215147.0,1293200.0,205.0,1477.0,6,1,450744
6287.0,191250.0,1212400.0,297.0,1472.0,6,1,450745
3385.0,177500.0,1227700.0,87.0,708.0,6,1,450746
6698.0,158381.0,992800.0,145.0,1816.0,6,1,450750
12521.0,250001.0,1485500.0,137.0,3308.0,6,1,450751
9502.0,250001.0,1682700.0,181.0,2392.0,6,1,450752
3892.0,250001.0,1597100.0,104.0,1041.0,6,1,451102
1448.0,250001.0,2000001.0,13.0,297.0,6,1,451103
6880.0,180500.0,1028700.0,95.0,1346.0,6,1,451104
7292.0,108690.0,887000.0,261.0,1225.0,6,1,451201
5549.0,168036.0,915500.0,69.0,1392.0,6,1,451202
6235.0,124269.0,1013300.0,82.0,1103.0,6,1,451300
5969.0,117755.0,1083600.0,146.0,1118.0,6,1,451401
2145.0,190284.0,923100.0,7.0,504.0,6,1,451403
6594.0,118688.0,820500.0,136.0,1091.0,6,1,451404
4533.0,192049.0,1286600.0,88.0,1157.0,6,1,451501
6053.0,174107.0,932400.0,37.0,1267.0,6,1,451503
1493.0,169766.0,992300.0,26.0,288.0,6,1,451504
3191.0,232443.0,1111500.0,47.0,872.0,6,1,451505
3398.0,135517.0,1044700.0,62.0,621.0,6,1,451506
4866.0,202056.0,1549500.0,115.0,1239.0,6,1,451601
6767.0,133594.0,1055000.0,92.0,1854.0,6,1,451602
3108.0,201968.0,1063000.0,70.0,675.0,6,1,451701
3989.0,200972.0,1133300.0,42.0,948.0,6,1,451703
4593.0,147188.0,1177400.0,126.0,1110.0,6,1,451704
9.0,-666666666.0,-666666666.0,0.0,4.0,6,1,981900
69.0,136641.0,1028400.0,0.0,12.0,6,1,982000
1099.0,-666666666.0,-666666666.0,18.0,105.0,6,1,982100
1038.0,181250.0,967200.0,1.0,412.0,6,1,983200
0.0,-666666666.0,-666666666.0,0.0,0.0,6,1,990000
