origin_id,destination_id,am_peak_min,late_night_min,off_peak_delay_min
06001402200,06001450752,120.0,120.0,0.0
06001402200,06001451102,120.0,120.0,0.0
06001402200,06001451103,120.0,120.0,0.0
06001402200,06001451104,120.0,120.0,0.0
06001402200,06001451201,120.0,120.0,0.0
06001402200,06001451202,120.0,120.0,0.0
06001402200,06001451300,120.0,120.0,0.0
06001402200,06001451401,120.0,120.0,0.0
06001402200,06001451403,120.0,120.0,0.0
06001402200,06001451404,120.0,120.0,0.0
06001402200,06001451501,120.0,120.0,0.0
06001402200,06001451503,120.0,120.0,0.0
06001402200,06001451504,120.0,120.0,0.0
06001402200,06001451505,120.0,120.0,0.0
06001402200,06001451506,120.0,120.0,0.0
06001402200,06001451601,120.0,120.0,0.0
06001402200,06001451602,120.0,120.0,0.0
06001402200,06001451701,120.0,120.0,0.0
06001402200,06001451703,120.0,120.0,0.0
06001402200,06001451704,120.0,120.0,0.0
06001402200,06001981900,53.0,53.0,0.0
06001402200,06001982000,31.0,31.0,0.0
06001402200,06001982100,46.0,52.0,6.0
06001402200,06001983200,28.0,31.0,3.0
06001402200,06001990000,120.0,120.0,0.0
06001428301,06001400100,120.0,120.0,0.0
06001428301,06001400200,87.0,120.0,33.0
06001428301,06001400300,87.0,120.0,33.0
06001428301,06001400400,94.0,120.0,26.0
06001428301,06001400500,85.0,114.0,29.0
06001428301,06001400600,80.0,118.0,38.0
06001428301,06001400700,83.0,115.0,32.0
06001428301,06001400800,92.0,115.0,23.0
06001428301,06001400900,92.0,115.0,23.0
06001428301,06001401000,75.0,102.0,27.0
06001428301,06001401100,72.0,101.0,29.0
06001428301,06001401200,78.0,109.0,31.0
06001428301,06001401300,77.0,104.0,27.0
06001428301,06001401400,77.0,106.0,29.0
06001428301,06001401500,88.0,110.0,22.0
06001428301,06001401600,85.0,107.0,22.0
06001428301,06001401700,114.0,120.0,6.0
06001428301,06001401800,71.0,109.0,38.0
06001428301,06001402200,63.0,103.0,40.0
06001428301,06001402400,80.0,104.0,24.0
06001428301,06001402500,78.0,101.0,23.0
06001428301,06001402600,73.0,100.0,27.0
06001428301,06001402700,74.0,102.0,28.0
06001428301,06001402801,66.0,94.0,28.0
06001428301,06001402802,67.0,95.0,28.0
06001428301,06001402900,65.0,94.0,29.0
06001428301,06001403000,61.0,95.0,34.0
06001428301,06001403100,65.0,95.0,30.0
06001428301,06001403301,58.0,90.0,32.0
06001428301,06001403302,64.0,96.0,32.0
06001428301,06001403401,83.0,109.0,26.0
06001428301,06001403402,65.0,98.0,33.0
06001428301,06001403501,75.0,102.0,27.0
06001428301,06001403502,72.0,99.0,27.0
06001428301,06001403600,83.0,110.0,27.0
06001428301,06001403701,75.0,102.0,27.0
06001428301,06001403702,84.0,104.0,20.0
06001428301,06001403800,93.0,112.0,19.0
06001428301,06001403900,83.0,110.0,27.0
06001428301,06001404000,80.0,111.0,31.0
06001428301,06001404101,86.0,109.0,23.0
06001428301,06001404102,83.0,108.0,25.0
06001428301,06001404200,120.0,120.0,0.0
06001428301,06001404300,100.0,120.0,20.0
06001428301,06001404400,120.0,120.0,0.0
06001428301,06001404501,103.0,120.0,17.0
06001428301,06001404502,117.0,120.0,3.0
06001428301,06001404600,101.0,120.0,19.0
06001428301,06001404700,88.0,120.0,32.0
06001428301,06001404800,79.0,103.0,24.0
06001428301,06001404900,79.0,96.0,17.0
06001428301,06001405000,90.0,107.0,17.0
06001428301,06001405100,96.0,113.0,17.0
06001428301,06001405200,86.0,105.0,19.0
06001428301,06001405301,79.0,102.0,23.0
06001428301,06001405302,72.0,97.0,25.0
